ticker,cross_date,cross_price,pct_below,recovered,recovery_date,recovery_price,weeks_below,min_price_during,max_drawdown_episode,episode_return,annualized_return,current_price,unrealized_return,weeks_elapsed,sector,total_crosses,cross_number,spy_episode_return,excess_episode,beat_spy,abs_depth
KO,2020-05-09,36.05,-2.02,True,2020-05-16,37.5300407409668,1.0,36.05,0.0,4.105522166343412,710.2814079630377,,,,Consumer Defensive,4,2,2.4352250701382694,1.6702970962051422,True,2.02
KO,2020-06-20,36.64,-0.9,True,2020-06-27,37.74484252929688,1.0,36.64,0.0,3.015399916203254,368.71834126510095,,,,Consumer Defensive,4,3,1.7576979391810132,1.2577019770222408,True,0.9
KO,2023-09-30,49.35,-0.18,True,2023-10-14,50.680423736572266,2.0,49.12017440795898,-0.4657053536798683,2.6958940963977,99.70093062963764,,,,Consumer Defensive,4,4,-2.510704052239321,5.2065981486370205,True,0.18
CAT,2015-01-03,65.97,-2.85,True,2015-05-09,67.6636962890625,18.0,60.1258430480957,-8.858809992275729,2.56737348652798,7.598063427228796,,,,Industrials,5,1,5.889209609644119,-3.3218361231161393,False,2.85
CAT,2015-05-23,65.28,-2.46,True,2015-06-06,67.21989440917969,2.0,65.28,0.0,2.9716519748463237,114.12120799642538,,,,Industrials,5,2,-0.525202692614779,3.4968546674611027,True,2.46
CAT,2015-06-13,66.97,-0.09,True,2016-07-23,66.70777893066406,58.0,46.75022888183594,-30.19228179507849,-0.3915500512706282,-0.3511160718301265,,,,Industrials,5,3,4.364637108901226,-4.756187160171854,False,0.09
CAT,2020-03-07,88.36,-14.98,True,2020-04-04,110.88043975830078,4.0,84.69234466552734,-4.150809568212599,25.48714323030872,1813.3306236151452,,,,Industrials,5,4,12.918811689192356,12.568331541116365,True,14.98
CAT,2020-04-11,103.14,-1.71,True,2020-05-23,107.51306915283205,6.0,96.58541870117188,-6.355033254632659,4.239935187930999,43.31637560142032,,,,Industrials,5,5,12.833293085835585,-8.593357897904585,False,1.71
AMD,2022-09-17,67.96,-4.09,True,2022-11-05,72.37000274658203,7.0,55.93999862670898,-17.68687665287082,6.489115283375568,59.52867903077528,,,,Technology,4,1,9.662065641233752,-3.172950357858184,False,4.09
AMD,2022-12-03,68.59,-6.51,True,2023-01-21,75.4000015258789,7.0,63.959999084472656,-6.75025647401567,9.928563239362733,102.01921095699127,,,,Technology,4,2,1.5863390309841296,8.342224208378603,True,6.51
AMD,2025-02-01,107.56,-6.81,True,2025-05-10,117.16999816894533,14.0,85.76000213623047,-20.26775554459793,8.934546456810445,37.41804542347242,,,,Technology,4,3,-1.7638227152861896,10.698369172096633,True,6.81
AMD,2025-05-17,110.31,-5.55,True,2025-06-14,128.24000549316406,4.0,110.31,0.0,16.25419770933194,608.4551532793018,,,,Technology,4,4,2.6439987910577445,13.610198918274197,True,5.55
GE,2017-07-01,115.92,-0.01,True,2017-07-08,118.71062469482422,1.0,115.92,0.0,2.407371199813846,244.527055447019,,,,Industrials,4,1,1.4327572562458535,0.9746139435679924,True,0.01
GE,2017-07-15,114.85,-1.13,True,2021-02-20,61.00823593139648,188.0,26.600879669189453,-76.83858975255599,-46.88007319860994,-16.052573918722114,,,,Industrials,4,2,66.90835954023606,-113.78843273884601,False,1.13
GE,2022-04-23,45.52,-9.86,True,2022-11-05,52.829566955566406,28.0,37.84758377075195,-16.85504444035161,16.057923891841842,31.85917009643191,,,,Industrials,4,3,-3.488323411988814,19.546247303830654,True,9.86
GE,2022-12-03,49.85,-0.01,True,2022-12-17,50.11127853393555,2.0,47.52885055541992,-4.65626769223687,0.524129456239808,14.558769538938886,,,,Industrials,4,4,-4.6816031579363315,5.2057326141761395,True,0.01
CSCO,2020-03-07,31.46,-2.98,True,2020-03-28,32.648685455322266,3.0,29.756616592407227,-5.414441855031072,3.7784025916155928,90.19000066320726,,,,Technology,7,1,5.49405925613955,-1.7156566645239568,False,2.98
CSCO,2020-09-05,33.92,-1.06,True,2020-11-07,35.53261947631836,9.0,30.81210708618164,-9.162420146870163,4.754184776881942,30.781332897298498,,,,Technology,7,2,6.43605012122932,-1.6818653443473774,False,1.06
CSCO,2022-05-14,38.42,-7.78,True,2022-08-06,42.07893371582031,12.0,38.11569213867188,-0.7920558597816929,9.523513055232469,48.31961336029165,,,,Technology,7,3,9.56260846112964,-0.03909540589717153,False,7.78
CSCO,2022-08-20,41.43,-1.11,True,2022-11-12,43.54497909545898,12.0,36.11150741577149,-12.83729805510141,5.104945921938175,24.0795843823286,,,,Technology,7,4,0.8369240241482334,4.268021897789942,True,1.11
