ticker,cross_date,price,wma200,pct_below,return_3mo,return_6mo,return_12mo,return_24mo,max_drawdown_12mo,fcf,fcf_prior,fcf_change_pct,fcf_positive,fcf_growing,fcf_category
GS,2018-11-10,170.13,171.3,-0.68,-1.39,-1.53,11.04,13.13,-20.49,,,,,,unknown
GS,2019-05-04,171.45,171.81,-0.21,2.86,11.52,-6.16,91.84,-29.94,,,,,,unknown
GS,2019-08-10,169.98,173.08,-1.79,11.14,20.31,6.84,115.03,-29.33,,,,,,unknown
GS,2019-09-28,172.23,173.9,-0.96,15.98,-25.97,1.97,97.27,-30.26,,,,,,unknown
GS,2020-02-22,173.18,180.63,-4.12,-1.53,4.74,62.96,81.72,-30.64,,,,,,unknown
GS,2020-06-06,176.21,182.81,-3.61,0.18,20.31,90.91,48.18,-6.24,,,,,,unknown
GS,2020-07-18,175.94,183.98,-4.37,2.39,45.3,89.18,67.49,-5.6,,,,,,unknown
GS,2023-10-21,273.69,278.05,-1.57,31.38,49.75,81.68,183.5,0.0,4960000000.0,,,True,,positive_unknown_trend
IBM,2016-08-06,102.69,103.42,-0.71,0.44,12.29,-9.28,-3.69,-7.71,,,,,,unknown
IBM,2017-04-29,100.86,101.75,-0.87,-5.46,-0.24,-3.4,-1.42,-8.06,,,,,,unknown
IBM,2017-06-17,101.23,101.36,-0.13,-4.83,1.0,-4.46,-1.36,-8.39,,,,,,unknown
IBM,2017-07-15,96.61,101.18,-4.51,11.36,12.68,3.7,11.14,-4.01,,,,,,unknown
IBM,2017-11-04,99.01,100.44,-1.43,1.24,-1.44,-13.66,0.87,-19.16,,,,,,unknown
IBM,2018-04-14,98.1,99.82,-1.72,2.12,-8.94,1.41,-9.14,-20.75,,,,,,unknown
IBM,2018-06-16,96.71,99.19,-2.5,8.29,-19.62,3.25,-4.77,-19.62,,,,,,unknown
IBM,2018-10-06,97.46,98.82,-1.38,-12.67,5.0,6.31,-0.11,-20.23,,,,,,unknown
